"Row.names"	"crAss"	"res"	"bp"	"rel_crAss"	"rel_res"	"country"	"WWTP"	"country_wwtp"	"Treatment_plant"	"Sample_type"	"num"	"Lib_size"	"Sample"
"32"	"153"	2.73168	9734	9180203908	0.297562017943796	1060.32503172586	"Sweden 2"	"Uppsala"	"SWE: Uppsala"	"Uppsala"	"Inlet-Adb"	55	"9,0"	"Raw sewage"
"33"	"154"	1.91563	7699	7940340028	0.241252892602196	969.60583209926	"Sweden 2"	"Uppsala"	"SWE: Uppsala"	"Uppsala"	"Inlet-Adb"	56	"7,7"	"Raw sewage"
"34"	"155"	1.31054	9464	7595411494	0.172543647047334	1246.01544070076	"Sweden 2"	"Uppsala"	"SWE: Uppsala"	"Uppsala"	"Inlet-Cb"	59	"7,4"	"Raw sewage"
"35"	"156"	1.43524	7000	6960143108	0.206208403725253	1005.72644719822	"Sweden 2"	"Uppsala"	"SWE: Uppsala"	"Uppsala"	"Inlet-Cb"	60	"6,8"	"Raw sewage"
"36"	"157"	2.58778	8212	6505321928	0.397794302671134	1262.35105516518	"Sweden 2"	"Käppala"	"SWE: Käppala"	"K�ppala"	"Inlet-b"	31	"6,3"	"Raw sewage"
"37"	"158"	2.16186	8520	6710841980	0.3221443756898	1269.58733723603	"Sweden 2"	"Käppala"	"SWE: Käppala"	"K�ppala"	"Inlet-b"	32	"6,5"	"Raw sewage"
"38"	"159"	2.11181	9095	8471222692	0.249292230505797	1073.63486130392	"Sweden 2"	"Henriksdal"	"SWE: Henriksdal"	"Henriksdal"	"Inlet-Sb"	11	"8,3"	"Raw sewage"
"39"	"160"	2.02848	8709	7488552484	0.27087744985884	1162.97509012691	"Sweden 2"	"Henriksdal"	"SWE: Henriksdal"	"Henriksdal"	"Inlet-Sb"	12	"7,3"	"Raw sewage"
"40"	"161"	0.0457838	655	4793544032	0.00955113788344565	136.642116068498	"Sweden 2"	"Henriksdal"	"SWE: Henriksdal"	"Henriksdal"	"Treated"	23	"4,6"	"Treated sewage"
"41"	"162"	0.0874053	1472	9356976936	0.00934119006574839	157.315766627214	"Sweden 2"	"Henriksdal"	"SWE: Henriksdal"	"Henriksdal"	"Treated"	24	"9,1"	"Treated sewage"
"42"	"163"	0.122784	1332	7307653202	0.0168021109658564	182.274659617872	"Sweden 2"	"Henriksdal"	"SWE: Henriksdal"	"Henriksdal"	"Sand-filtered"	17	"7,0"	"Sand-filtered treated sewage"
"43"	"164"	0.112378	1622	9262484972	0.0121325972824477	175.114993967949	"Sweden 2"	"Henriksdal"	"SWE: Henriksdal"	"Henriksdal"	"Sand-filtered"	18	"9,0"	"Sand-filtered treated sewage"
"44"	"165"	0.114428	711	9049617170	0.012644512784401	78.566859419977	"Sweden 2"	"Käppala"	"SWE: Käppala"	"K�ppala"	"Treated"	47	"8,8"	"Treated sewage"
"45"	"166"	0.154	666	8572408532	0.017964612795241	77.6911176729252	"Sweden 2"	"Käppala"	"SWE: Käppala"	"K�ppala"	"Treated"	48	"8,3"	"Treated sewage"
"46"	"167"	0.178973	1100	7592643892	0.0235718943948596	144.877069917505	"Sweden 2"	"Käppala"	"SWE: Käppala"	"K�ppala"	"Sand-filtered"	41	"7,3"	"Sand-filtered treated sewage"
"47"	"168"	0.208108	1282	8489903652	0.024512410096783	151.002891499009	"Sweden 2"	"Käppala"	"SWE: Käppala"	"K�ppala"	"Sand-filtered"	42	"8,2"	"Sand-filtered treated sewage"
"48"	"169"	0.153917	1074	6587106476	0.0233664053497228	163.045793158665	"Sweden 2"	"Uppsala"	"SWE: Uppsala"	"Uppsala"	"Treated"	69	"6,4"	"Treated sewage"
"49"	"170"	0.176892	1210	7790373208	0.0227064859766087	155.319901587955	"Sweden 2"	"Uppsala"	"SWE: Uppsala"	"Uppsala"	"Treated"	70	"7,5"	"Treated sewage"
"50"	"216"	1.39373	2392	8899937998	0.156599967360806	268.765917306113	"Sweden 2"	"Käppala"	"SWE: Käppala"	"K�ppala"	"Digested"	28	"8,2"	"Digested Sludge"
"51"	"228"	6.39309	22327	12390376394	0.51597221881781	1801.96301468386	"Sweden 2"	"Käppala"	"SWE: Käppala"	"K�ppala"	"Primary"	40	"11,4"	"Primary Sludge"
"52"	"236"	3.60287	20240	9606455016	0.375046777817546	2106.91664784661	"Sweden 2"	"Henriksdal"	"SWE: Henriksdal"	"Henriksdal"	"Primary"	16	"8,7"	"Primary Sludge"
