"crAss"	"res"	"rich"	"mge"	"intI1"	"bp"	"rel_crAss"	"rel_res"	"rel_rich"	"rel_mge"	"rel_int"	"country"	"crAss_detection"
"103"	0.215124	33546	474	133333	2286	30654871366	0.00701761222324354	1094.31220896287	15.4624690588565	4349.48815827956	74.5721609041052	"India"	"crAssphage detected"
"104"	2.74062	79908	504	216851	2554	35906679936	0.0763261879094607	2225.43549396457	14.0363854552504	6039.29409197717	71.1288262950583	"India"	"crAssphage detected"
"105"	0.481698	17835	410	72629	1818	43688940727	0.0110256278129973	408.226880835723	9.38452599622352	1662.41155751151	41.6123616125228	"India"	"crAssphage detected"
"106"	0.001	1139	109	4481	25	26645483381	3.75298126778614e-05	42.7464566400842	4.0907495818869	168.171090609497	0.938245316946536	"India"	"crAssphage not detected"
"107"	0.001	1243	42	3748	68	16666397567	6.00009687744418e-05	74.5812041866312	2.52004068852656	224.883630966608	4.08006587666204	"India"	"crAssphage not detected"
"108"	0.0884974	9152	349	31622	1033	46034342416	0.00192242129148436	198.808096731258	7.58129652089261	686.921944365806	22.4397687853354	"India"	"crAssphage detected"
"109"	2.64971	71911	638	243524	4534	53836374142	0.0492178390953868	1335.73259986503	11.8507237934932	4523.41012709503	84.218153102975	"India"	"crAssphage detected"
"110"	0.245681	12501	415	50305	1300	34424413027	0.00713682466589353	363.14344677991	12.0553980012529	1461.31758181452	37.7638973533223	"India"	"crAssphage detected"
"SRR5997540"	0.36694	8620	364	23282	879	1713162348	0.214188690539678	5031.63054573506	212.472565968395	13590.0722002092	513.086223863239	"Singapore"	"crAssphage detected"
"SRR5997541"	13.735	7500	293	19681	1045	1415802146	9.70121428252165	5297.35035448943	206.949820515387	13900.9536435609	738.097482725528	"Singapore"	"crAssphage detected"
"SRR5997542"	0.0155154	126	62	905	29	1148472588	0.0135095954070782	109.710933736278	53.9847451718195	788.0031351693	25.2509291932704	"Singapore"	"crAssphage detected"
"SRR5997543"	0.001	1	1	59	0	1261023498	0.000793006634361702	0.793006634361702	0.793006634361702	46.7873914273404	0	"Singapore"	"crAssphage not detected"
"SRR5997544"	0.00517179	42	20	3169	28	1288731388	0.00401308608462324	32.5901893839805	15.5191378018955	2459.00738471034	21.7267929226536	"Singapore"	"crAssphage detected"
"SRR5997545"	0.0310308	111	44	729	28	1003997992	0.0309072331292073	110.557990040283	43.8247888447968	726.09706972402	27.8885019921434	"Singapore"	"crAssphage detected"
"SRR5997546"	3.51432	1639	189	5656	82	1384769008	2.53783842626264	1183.59090254856	136.484856974789	4084.43571983812	59.215652232448	"Singapore"	"crAssphage detected"
"SRR5997547"	0.001	10	5	638	5	1342253624	0.000745015682669522	7.45015682669522	3.72507841334761	475.320005543155	3.72507841334761	"Singapore"	"crAssphage not detected"
"SRR5997548"	1.2242	22495	377	84722	4267	1676858712	0.730055544476904	13414.9644445417	224.825143169248	50524.2328370955	2544.63895465034	"Singapore"	"crAssphage detected"
"SRR5997549"	0.0103436	81	31	2931	38	1132662098	0.00913211452759321	71.5129429536186	27.3691510069405	2587.70908391427	33.5492818794754	"Singapore"	"crAssphage detected"
"SRR5997550"	0.341318	303	102	6452	55	1227608872	0.278034810422908	246.821285599181	83.088353568041	5255.74565902942	44.8025435906103	"Singapore"	"crAssphage detected"
"SRR5997551"	6.7889	6287	275	23282	903	1550767356	4.37776818923444	4054.12196463594	177.331563587543	15013.2125943461	582.29237061655	"Singapore"	"crAssphage detected"
"SRR5997552"	2.72847	3798	219	7745	268	1394890332	1.95604624779921	2722.79469781285	157.001590000267	5552.40782900487	192.12979963503	"Singapore"	"crAssphage detected"
"JL27"	0.001	126307	118	49140	337	3753977292	0.000266384136667814	33646.1811501016	31.4333281268021	13090.1164758564	89.7714540570535	"India polluted"	"crAssphage not detected"
"JL28"	0.001	284435	145	117811	604	7538327708	0.000132655416258802	37731.8433235723	19.2350353575263	15628.2672448657	80.1238714203163	"India polluted"	"crAssphage not detected"
"JL29"	0.001	50308	132	71385	277	2937114946	0.000340470161497043	17128.3728845933	44.9420613176097	24304.4624784664	94.310234734681	"India polluted"	"crAssphage not detected"
"JL30"	0.001	83899	161	25818	597	3396142372	0.000294451730953522	24704.2057752695	47.406728683517	7602.15478975803	175.787683379253	"India polluted"	"crAssphage not detected"
"JL31"	0.001	60526	130	20950	262	6127996836	0.000163185462845758	9876.96332420234	21.2141101699485	3418.73544661863	42.7545912655886	"India polluted"	"crAssphage not detected"
"JL32"	0.00208108	50686	211	28199	506	4877367164	0.000426681020727846	10392.0820999729	43.2610449255077	5781.60287134783	103.744496361644	"India polluted"	"crAssphage detected"
"JL33"	0.001	163145	174	39206	963	6760250574	0.000147923510978426	24132.9811985753	25.7386909102461	5799.48917142017	142.450341072224	"India polluted"	"crAssphage not detected"
