"crAss"	"res"	"Tetracycline"	"Aminoglycoside"	"MLS"	"Beta_lactam"	"Trimethroprim"	"Sulphonamide"	"Vancomycin"	"Chloramphenicol"	"Quinolone"	"rich"	"mge"	"intI1"	"bp"	"rel_crAss"	"rel_res"	"rel_rich"	"rel_mge"	"rel_int"	"country"	"rel_tet"	"rel_amino"	"rel_mls"	"rel_beta"	"rel_tri"	"rel_sul"	"rel_van"	"rel_clo"	"rel_qui"	"crAss_detection"
"SRR5306399"	0.0104054	94	22	10	19	18	2	3	0.5	5	14	52	1608	26	3496353966	0.00297607167385981	26.8851497628945	14.872636039048	459.907668284407	7.436318019524	"UK"	6.29226909344338	2.86012231520154	5.43423239888292	5.14822016736277	0.572024463040308	0.858036694560461	0.143006115760077	1.43006115760077	4.00417124128215	"crAssphage detected"
"SRR5306400"	0.0208108	153	8	24	30	30	1	6	0.5	14	36	70	2022	16	4322279446	0.00481477430138375	35.3979889341935	16.1951583359055	467.808716502871	3.7017504767784	"UK"	1.8508752383892	5.55262571516761	6.94078214395951	6.94078214395951	0.23135940479865	1.3881564287919	0.115679702399325	3.2390316671811	8.32893857275141	"crAssphage detected"
"SRR5306401"	0.0332973	161	13	19	29	46	1	5	0.5	10	33	66	2192	26	4514348116	0.00737588221918152	35.6640639718003	14.6200510691852	485.562908237181	5.75941405755781	"UK"	2.8797070287789	4.20880258052301	6.42396183342986	10.1897325633715	0.221515925290685	1.10757962645342	0.110757962645342	2.21515925290685	7.3100255345926	"crAssphage detected"
"SRR5306402"	0.0103951	122	9	7	23	42	0.5	1	0.5	16	20	60	1781	34	3958921846	0.00262574013945311	30.816470934698	15.1556414432941	449.86995684178	8.58819681786666	"UK"	2.27334621649412	1.76815816838431	5.80966255326274	10.6089490103059	0.126297012027451	0.252594024054902	0.126297012027451	4.04150438487843	5.05188048109803	"crAssphage detected"
"SRR5306403"	0.114459	2514	358	389	942	507	9	28	3	68	147	308	43329	606	7329249628	0.015616741932589	343.009192973281	42.0234015257639	5911.79209321372	82.682406898094	"UK"	48.8453822929334	53.0750103685785	128.526117653473	69.1748849790984	1.2279565380905	3.8203092296149	0.409318846030168	9.27789384335048	20.0566234554782	"crAssphage detected"
"SRR5306404"	0.151909	2794	388	511	1002	522	3	32	1	101	153	306	47232	699	7962867876	0.0190771719894854	350.878608499971	38.4283658557592	5931.53129444189	87.7824435724695	"UK"	48.726163241943	64.1728593212188	125.834060743368	65.5542711657068	0.376748684860384	4.01865263851076	0.125582894953461	12.6838723902996	19.2141829278796	"crAssphage detected"
"SRR5306406"	0.124865	2386	307	403	869	494	8	18	3	88	123	312	38179	546	7346149150	0.0169973407087712	324.796019149706	42.471231338939	5197.14468361972	74.3246548431432	"UK"	41.7906026315842	54.8586738127962	118.293269338263	67.2461162866534	1.08900593176767	2.45026334647725	0.408377224412875	11.9790652494443	16.7434662009279	"crAssphage detected"
"SRR5306407"	0.160171	2301	356	410	778	505	14	16	0.5	63	110	301	37647	557	7683230792	0.0208468291967455	299.483389513155	39.1762278328812	4899.89185788863	72.4955445279562	"UK"	46.3346747790887	53.3629681444561	101.259485893626	65.7275583242691	1.82215013176191	2.08245729344219	0.0650767904200684	8.19967559292862	14.316893892415	"crAssphage detected"
"SRR5306409"	0.199712	2722	367	502	948	553	12	23	4	71	178	336	45238	701	9832389996	0.0203116434642286	276.840117317088	34.1727698084282	4600.91595414784	71.2949751062743	"UK"	37.3256146419439	51.0557453685445	96.4160291023509	56.242683643038	1.22045606458672	2.33920745712455	0.406818688195573	7.22103171547143	18.103431624703	"crAssphage detected"
"SRR5306410"	0.187277	2291	364	417	724	491	9	17	7	76	131	302	36092	584	7649744040	0.0244814727160466	299.487144670529	39.4784450853339	4718.06635768169	76.3424236087251	"UK"	47.583291427356	54.511627816504	94.6436895423236	64.1851540956918	1.17650995287419	2.22229657765124	0.915063296679924	9.93497293538203	17.1247559807243	"crAssphage detected"
"101"	0.001	380	23	20	20	10	2	1	7	1	292	65	1060	17	14025012419	7.1301184635336e-05	27.0944501614277	4.63457700129684	75.5792557134562	1.21212013880071	"India"	1.63992724661273	1.42602369270672	1.42602369270672	0.71301184635336	0.142602369270672	0.071301184635336	0.499108292447352	0.071301184635336	20.8199459135181	"crAssphage not detected"
"102"	0.001	892	15	48	6	21	0.5	8	0.5	0.5	791	44	4080	20	15564468247	6.42489023158724e-05	57.3100208657581	2.82695170189838	262.135521448759	1.28497804631745	"India"	0.963733534738085	3.08394731116187	0.385493413895234	1.34922694863332	0.0321244511579362	0.513991218526979	0.0321244511579362	0.0321244511579362	50.820881731855	"crAssphage not detected"
"103"	0.215124	29406	8049	3633	13560	2022	59	551	6	960	270	474	133333	2286	30654871366	0.00701761222324354	959.260264018424	15.4624690588565	4349.48815827956	74.5721609041052	"India"	262.568382815898	118.512974875159	442.34405155716	65.9601528206915	1.92465332167201	17.9743047498521	0.195727456441221	31.3163930305954	8.80773553985495	"crAssphage detected"
"104"	2.74062	73262	25258	5749	33085	4970	45	487	107	2798	303	504	216851	2554	35906679936	0.0763261879094607	2040.34458575903	14.0363854552504	6039.29409197717	71.1288262950583	"India"	703.434571088717	160.109484091735	921.416295212218	138.414356572608	1.25324870136164	13.5629359458471	2.97994691212656	77.9242192535525	8.43854125583503	"crAssphage detected"
"105"	0.481698	14381	3929	1934	5823	1127	9	692	13	449	163	410	72629	1818	43688940727	0.0110256278129973	329.167971589489	9.38452599622352	1662.41155751151	41.6123616125228	"India"	89.9312259491761	44.2674957968202	133.28315823417	25.7960019457168	0.206001790161004	15.8392487546016	0.297558141343673	10.2772004202545	3.73092131069374	"crAssphage detected"
"106"	0.001	983	134	65	216	37	2	7	13	12	497	109	4481	25	26645483381	3.75298126778614e-05	36.8918058623378	4.0907495818869	168.171090609497	0.938245316946536	"India"	5.02899489883343	2.43943782406099	8.10643953841807	1.38860306908087	0.0750596253557229	0.26270868874503	0.487887564812199	0.450357752134337	18.6523169008971	"crAssphage not detected"
"107"	0.001	1166	24	45	12	11	1	10	0.5	1	1060	42	3748	68	16666397567	6.00009687744418e-05	69.9611295909991	2.52004068852656	224.883630966608	4.08006587666204	"India"	1.4400232505866	2.70004359484988	0.720011625293302	0.66001065651886	0.0600009687744418	0.600009687744418	0.0300004843872209	0.0600009687744418	63.6010269009083	"crAssphage not detected"
"108"	0.0884974	7189	1562	1185	2010	848	37	297	13	256	863	349	31622	1033	46034342416	0.00192242129148436	156.166019165321	7.58129652089261	686.921944365806	22.4397687853354	"India"	33.9311895863446	25.7416515107672	43.6630544613013	18.4210299418823	0.803747768690621	6.45170506219228	0.282397864675083	5.5610656428324	18.746873631892	"crAssphage detected"
"109"	2.64971	62358	21027	7743	21866	6114	102	726	129	3447	658	638	243524	4534	53836374142	0.0492178390953868	1158.28751459976	11.8507237934932	4523.41012709503	84.218153102975	"India"	390.572365526302	143.82469331194	406.156624558811	113.566340553946	1.89462982278418	13.4853063856991	2.39614948175646	64.0273431287946	12.2222198371763	"crAssphage detected"
"110"	0.245681	9944	2779	1345	3803	828	18	386	26	317	247	415	50305	1300	34424413027	0.00713682466589353	288.864765601106	12.0553980012529	1461.31758181452	37.7638973533223	"India"	80.727592880679	39.0711091847835	110.473924334373	24.0526976988853	0.522884732584463	11.2129725987557	0.755277947066447	9.2085811238486	7.17514049713124	"crAssphage detected"
"JL27"	0.001	114250	119	89554	2784	440	617	19762	0.5	62	637	118	49140	337	3753977292	0.000266384136667814	30434.3876142978	31.4333281268021	13090.1164758564	89.7714540570535	"India polluted"	31.6997122634699	23855.7649751495	741.613436483195	117.209020133838	164.359012324042	5264.28330882935	0.133192068333907	16.5158164734045	169.686695057398	"crAssphage not detected"
"JL28"	0.001	260755	546	223632	17275	1777	6739	9063	0.5	90	1403	145	117811	604	7538327708	0.000132655416258802	34590.5630665639	19.2350353575263	15628.2672448657	80.1238714203163	"India polluted"	72.4298572773058	29665.9960487884	2291.6223158708	235.728674691891	893.964850168066	1202.25603755352	0.0663277081294009	11.9389874632922	186.115549011099	"crAssphage not detected"
"JL29"	0.001	44352	206	24768	7969	360	127	10207	0.5	66	454	132	71385	277	2937114946	0.000340470161497043	15100.5326027169	44.9420613176097	24304.4624784664	94.310234734681	"India polluted"	70.136853268391	8432.76495995877	2713.20671696994	122.569258138936	43.2397105101245	3475.17893840032	0.170235080748522	22.4710306588049	154.573453319658	"crAssphage not detected"
