"crAss"	"res"	"int1"	"mge"	"bp"	"country"	"rel_crAss"	"rel_res"	"rel_int"	"rel_mge"
"SRR341644"	0.00152475	16397	1	13118	2352292464	"China"	0.000648197459854635	6970.64682684797	0.425117206004023	5576.68750836078
"SRR341645"	19.8836	18623	1	14216	2242236704	"China"	8.86775243868276	8305.54596077114	0.445983244416643	6340.097802627
"SRR341646"	NA	16653	75	28320	2928957000	"China"	NA	5685.64168063922	25.6063847984112	9668.97089988006
"SRR341647"	25.4689	20538	0	5632	2166897008	"China"	11.753627378676	9478.06929640654	NA	2599.10830058242
"SRR341648"	0.0198115	26523	15	12320	2183230140	"China"	0.00907439835912122	12148.5131201056	6.87055373832463	5643.01480374396
"SRR341649"	109.065	28923	21	17790	3291235200	"China"	33.1380145666891	8787.88607997386	6.3805831925959	5405.26547601338
"SRR341650"	NA	28720	11	14775	3118195500	"China"	NA	9210.4552136003	3.52768131440123	4738.31740184347
"SRR341651"	164.477	9057	4	6024	2123764628	"China"	77.4459645063831	4264.59687697558	1.88344788648585	2836.47251704768
"SRR341652"	0.0975738	10975	7	23858	2597402664	"China"	0.03756591203681	4225.37489166139	2.6949999309002	9185.32976448814
"SRR341653"	0.00152475	15019	2	21642	2537858268	"China"	0.000600801872675736	5917.98217787629	0.788066073357253	8527.66297979884
"SRR341690"	0.044496	16213	66	32682	2992645260	"China"	0.014868451197587	5417.6150500377	22.0540673103367	10920.7731490367
"SRR341691"	NA	13020	32	16105	2694828960	"China"	NA	4831.47546403093	11.8745940744232	5976.2605490183
"SRR341692"	110.028	12505	0	5723	2767763160	"China"	39.7534014434963	4518.08889601667	NA	2067.73472626177
"SRR341693"	NA	16041	62	14288	3034877040	"China"	NA	5285.55186538958	20.4291637462848	4707.93373559543
"SRR341694"	NA	19074	109	22070	3411971640	"China"	NA	5590.31610239293	31.9463382175123	6468.40077486693
"SRR341695"	NA	27470	7	6553	3331433340	"China"	NA	8245.70003252714	2.10119767847433	1967.0211981489
"SRR341696"	NA	37318	1	21648	3442747860	"China"	NA	10839.5971815374	0.290465651469463	6288.00042301094
"SRR341697"	NA	13975	2	7029	2883073860	"China"	NA	4847.25701755001	0.69370404544544	2438.022867718
"SRR341698"	0.0166898	13828	7	5682	3106442880	"China"	0.00537264023344926	4451.39361455119	2.25338120493624	1829.10171520682
"SRR341699"	NA	10989	0	5240	3261211200	"China"	NA	3369.60697301665	NA	1606.76499577826
"SRR341700"	0.291032	13129	26	18449	2632289400	"China"	0.110562311271701	4987.67346781855	9.87733339654827	7008.72783972765
"SRR341701"	0.0222531	17607	4	12754	2857295340	"China"	0.00778816935318979	6162.12113375721	1.39992528738734	4463.66177883452
"SRR341702"	0.135373	15124	3	14120	3142116900	"China"	0.0430833747783222	4813.3155071347	0.954770333338012	4493.78570224424
"SRR341703"	NA	14992	0	22456	3186418140	"China"	NA	4704.9694488621	NA	7047.41154906933
"SRR341704"	0.176129	14496	29	10323	3111262020	"China"	0.0566101469010958	4659.2025701519	9.32097644415047	3317.94620113673
"SRR341705"	0.00185443	19790	1	5715	3074145840	"China"	0.000603234230422848	6437.56055503209	0.325293610663572	1859.05298494231
"SRR341706"	7.27734	18909	13	5469	2887323840	"China"	2.52044467585596	6548.97096683135	4.50243918603879	1894.14153141894
