"rel_crAss"	"rel_res"	"country"	"country_wwtp"
"SRR5535880"	1.06619807455338	131.99107918671	"US"	"USA: Manitowoc, WI"
"SRR5570991"	0.96867501257359	1022.6834163552	"US"	"USA: Manitowoc, WI"
"SRR5570992"	0.294203222094424	514.132086397101	"US"	"USA: Manitowoc, WI"
"SRR5570993"	2.12953382307438	1947.3218584862	"US"	"USA: Manitowoc, WI"
"SRR5570994"	1.84675523418302	1594.58516051032	"US"	"USA: Manitowoc, WI"
"SRR5570995"	3.03676036754259	2273.70371850164	"US"	"USA: Manitowoc, WI"
"SRR5570996"	2.54950902029774	2871.35904773497	"US"	"USA: Manitowoc, WI"
"SRR5570997"	2.01503052870985	1865.57651347493	"US"	"USA: Manitowoc, WI"
"SRR5570998"	2.07155841906407	1770.71521256639	"US"	"USA: Manitowoc, WI"
"SRR5570999"	2.3436312094565	1656.29042580302	"US"	"USA: Manitowoc, WI"
"SRR5571000"	7.36384376551551	3576.64363718959	"US"	"USA: Sheboygan, WI"
"SRR5571001"	2.78201390280185	1524.81984535901	"US"	"USA: Sheboygan, WI"
"SRR5571002"	3.53452176714188	1894.65296746471	"US"	"USA: Sheboygan, WI"
"SRR5571003"	0.358434133814907	520.752088545763	"US"	"USA: Manitowoc, WI"
"SRR5571004"	0.361070138250053	276.766330854844	"US"	"USA: Sheboygan, WI"
"SRR5571005"	0.347963217429552	265.398221465228	"US"	"USA: Sheboygan, WI"
"SRR5571006"	2.28071465985133	1398.32461161493	"US"	"USA: Sheboygan, WI"
"SRR5571007"	0.283568810671365	260.110128460806	"US"	"USA: Sheboygan, WI"
"SRR5571008"	1.30807794492651	391.611697078243	"US"	"USA: Sheboygan, WI"
"SRR5571009"	1.1115826159805	449.678756888059	"US"	"USA: Sheboygan, WI"
"SRR5571010"	0.268796990085055	250.253725744594	"US"	"USA: Sheboygan, WI"
"SRR5571011"	1.35031681921401	374.03651856063	"US"	"USA: Sheboygan, WI"
